,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
81,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12251,12270,,12271,12272,FALSE,1010030,,Montréal,Montréal,45.51902274,-73.73941276,Antoine-Berthelet,0,0.084661792,avenue
84,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12251,12270,,12271,12272,FALSE,1010030,,Montréal,Montréal,45.51950625,-73.74016726,Antoine-Berthelet,0,0.082914856,avenue
87,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12273,12280,,12311,12300,FALSE,1010031,,Montréal,Montréal,45.52022327,-73.7412859,Antoine-Berthelet,0,0.080166967,avenue
142,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12191,0,,12191,0,FALSE,1010059,de,Montréal,Montréal,45.52361831,-73.73238232,Beauséjour,0,0.076508835,rue
146,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12201,12212,,12241,12232,FALSE,1010060,de,Montréal,Montréal,45.52412681,-73.73318911,Beauséjour,0,0.077421955,rue
149,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12243,12242,,12271,12262,FALSE,1010061,de,Montréal,Montréal,45.52457607,-73.73390739,Beauséjour,0,0.075676903,rue
152,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12273,12272,,12287,12292,FALSE,1010062,de,Montréal,Montréal,45.52500474,-73.73454651,Beauséjour,0,0.074067781,rue
156,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12325,12320,,12345,12340,FALSE,1010063,de,Montréal,Montréal,45.52552676,-73.73533709,Beauséjour,0,0.076042492,rue
167,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12365,12360,,12455,12440,FALSE,1010064,de,Montréal,Montréal,45.52528963,-73.73688276,Beauséjour,0,0.07972117,rue
170,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12457,12460,,12475,12462,FALSE,1010066,de,Montréal,Montréal,45.52477072,-73.73763901,Beauséjour,0,0.081753442,rue
173,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7527,7522,,7537,7532,FALSE,1010068,,Montréal,Montréal,45.52342699,-73.73407929,De Bécancour,0,0.079714072,rue
174,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,7723,7722,,7805,7800,FALSE,1010069,,Montréal,Montréal,45.52293555,-73.73482519,De Bécancour,0,0.080182936,rue
190,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5411,5460,,5487,5462,FALSE,1010074,du,Montréal,Montréal,45.53578121,-73.71837799,Bocage,0,0.033613885,rue
193,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5411,5460,,5487,5462,FALSE,1010074,du,Montréal,Montréal,45.53520856,-73.71908062,Bocage,0,0.032773993,rue
200,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5781,0,,5789,0,FALSE,1010076,du,Montréal,Montréal,45.53331907,-73.72093491,Bocage,-1,0.038395687,rue
205,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,5975,0,,6035,0,FALSE,1010079,du,Montréal,Montréal,45.53140642,-73.72335887,Bocage,0,0.042437742,rue
206,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6501,6504,,6545,6560,FALSE,1010087,,Montréal,Montréal,45.5276297,-73.72402654,Bruton,0,0.059468737,chemin
209,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6501,6504,,6545,6560,FALSE,1010087,,Montréal,Montréal,45.52648023,-73.725494,Bruton,0,0.06386702,chemin
211,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12175,12140,,12245,12250,FALSE,1010088,,Montréal,Montréal,45.50969308,-73.75259244,Camille,0,0.054940622,rue
230,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6015,6030,,6063,6060,FALSE,1010103,,Montréal,Montréal,45.53029546,-73.72266551,Chevalier,-1,0.047101638,rue
231,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12213,12204,,12233,12226,FALSE,1010139,,Montréal,Montréal,45.52296757,-73.73336176,La Corne,0,0.078967196,rue
238,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,6575,6594,,6685,6670,FALSE,1010141,,Montréal,Montréal,45.52832518,-73.72681938,Cossette,0,0.057348887,rue
271,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12181,12216,,12295,12296,FALSE,1010147,,Montréal,Montréal,45.52727176,-73.72139106,Cousineau,0,0.059814422,rue
280,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12181,12216,,12295,12296,FALSE,1010147,,Montréal,Montréal,45.52918644,-73.72415341,Cousineau,0,0.052026912,rue
281,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12329,0,,12491,0,FALSE,1010150,,Montréal,Montréal,45.52889802,-73.72500385,Crevier,0,0.053740313,rue
285,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12017,12032,,12143,12142,FALSE,1010151,,Montréal,Montréal,45.53528707,-73.70459337,Daigle,0,0.004696571,rue
304,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12017,12032,,12143,12142,FALSE,1010151,,Montréal,Montréal,45.5368951,-73.70641643,Daigle,0,0.010599231,rue
319,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12145,12150,,12199,12174,FALSE,1010154,,Montréal,Montréal,45.53714973,-73.7083119,Daigle,0,0.012520488,rue
322,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11475,11500,,11605,11700,FALSE,1010159,,Montréal,Montréal,45.52952548,-73.6994946,Dépatie,0,0.017425921,rue
325,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11755,11760,,11847,11848,FALSE,1010160,,Montréal,Montréal,45.53147671,-73.7025891,Dépatie,1,0.01357665,rue
328,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,11857,11852,,11995,11980,FALSE,1010161,,Montréal,Montréal,45.53341498,-73.70566895,Dépatie,1,0.00561008,rue
336,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12225,12226,,12295,12304,FALSE,1010164,,Montréal,Montréal,45.53625711,-73.71017749,Dépatie,0,0.014876435,rue
339,Ahuntsic-Cartierville,Ahuntsic-Cartierville,0,12225,12226,,12295,12304,FALSE,1010164,,Montréal,Montréal,45.53743291,-73.7121133,Dépatie,0,0.016562206,rue
340,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4225,4220,,4387,4382,FALSE,1010175,,Montréal,Montréal,45.53059264,-73.69813627,Dudemaine,0,0.017424669,rue
343,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4225,4220,,4387,4382,FALSE,1010175,,Montréal,Montréal,45.53005951,-73.69881495,Dudemaine,0,0.016630114,rue
348,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4655,4670,,4795,4790,FALSE,1010177,,Montréal,Montréal,45.52903139,-73.7001186,Dudemaine,0,0.019994036,rue
351,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,4805,4820,,4975,4822,FALSE,1010178,,Montréal,Montréal,45.52850553,-73.70078429,Dudemaine,0,0.016987129,rue
354,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5095,5002,,5097,5090,FALSE,1010179,,Montréal,Montréal,45.52799199,-73.70143584,Dudemaine,0,0.019234877,rue
357,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,0,5100,,0,5200,FALSE,1010180,,Montréal,Montréal,45.52746253,-73.70210275,Dudemaine,0,0.021544985,rue
360,Ahuntsic-Cartierville,Ahuntsic-Cartierville,5,5215,5250,,5353,5370,FALSE,1010181,,Montréal,Montréal,45.5261004,-73.70382245,Dudemaine,0,0.027494151,rue
