,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,DIST_TO_FS,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TYP_VOIE
20723,Ville-Marie,Ville-Marie,6,1001,930,,1.129960453,1029,1050,FALSE,1260047,du,Montréal,Montréal,45.50195065,-73.56314375,Beaver Hall,0,côte
20729,Ville-Marie,Ville-Marie,6,1001,930,,1.041121448,1029,1050,FALSE,1260047,du,Montréal,Montréal,45.50222746,-73.56420186,Beaver Hall,0,côte
20736,Ville-Marie,Ville-Marie,6,1035,1060,,0.978151015,1077,1060,FALSE,1260048,du,Montréal,Montréal,45.50241647,-73.56495775,Beaver Hall,0,côte
20741,Ville-Marie,Ville-Marie,6,1079,1080,,0.866623815,1095,1100,FALSE,1260049,du,Montréal,Montréal,45.5030295,-73.56631398,Beaver Hall,0,côte
20745,Ville-Marie,Ville-Marie,0,605,620,,0.90342289,615,622,FALSE,1260051,,Montréal,Montréal,45.5018618,-73.56549845,Belmont,-1,rue
20748,Ville-Marie,Ville-Marie,0,619,0,,0.832092753,627,0,FALSE,1260052,,Montréal,Montréal,45.5013316,-73.56601308,Belmont,-1,rue
20749,Ville-Marie,Ville-Marie,4,0,904,,0.805939891,0,944,FALSE,1260053,,Montréal,Montréal,45.50114318,-73.56621143,Belmont,0,rue
20751,Ville-Marie,Ville-Marie,4,0,904,,0.585899512,0,944,FALSE,1260053,,Montréal,Montréal,45.49951942,-73.56782306,Belmont,0,rue
20752,N/A,N/A,0,0,0,,1.733274381,0,0,FALSE,1260054,,Westmount,Westmount,45.49322107,-73.60089624,Belvedere,0,cercle
20756,Ville-Marie,Ville-Marie,0,1179,1158,,0.379575438,1267,1254,FALSE,1260058,,Montréal,Montréal,45.49529479,-73.57370013,Bishop,1,rue
20760,Ville-Marie,Ville-Marie,0,1179,1158,,0.427603063,1267,1254,FALSE,1260058,,Montréal,Montréal,45.49654982,-73.57633204,Bishop,1,rue
20763,Ville-Marie,Ville-Marie,0,1405,1424,,0.377285752,1463,1452,FALSE,1260059,,Montréal,Montréal,45.49740149,-73.57808241,Bishop,1,rue
20766,Ville-Marie,Ville-Marie,0,2005,2100,,0.547037028,2189,2170,FALSE,1260060,,Montréal,Montréal,45.49832759,-73.58001481,Bishop,1,rue
20767,Ville-Marie,Ville-Marie,0,899,0,,1.178616935,1001,0,FALSE,1260061,,Montréal,Montréal,45.50319966,-73.56037442,Jean-Paul-Riopelle,0,place
20769,Ville-Marie,Ville-Marie,0,899,0,,1.102893356,1001,0,FALSE,1260061,,Montréal,Montréal,45.5036762,-73.56135485,Jean-Paul-Riopelle,0,place
20770,Ville-Marie,Ville-Marie,6,901,1016,,1.06739737,1041,1040,FALSE,1260062,,Montréal,Montréal,45.50383585,-73.56174042,De Bleury,-1,rue
20773,Ville-Marie,Ville-Marie,6,901,1016,,1.142420781,1041,1040,FALSE,1260062,,Montréal,Montréal,45.50428109,-73.56270307,De Bleury,-1,rue
20776,Ville-Marie,Ville-Marie,6,1061,1060,,1.083495501,1079,1090,FALSE,1260063,,Montréal,Montréal,45.5047316,-73.56364675,De Bleury,-1,rue
20779,Ville-Marie,Ville-Marie,6,1087,1100,,1.023855454,1103,1124,FALSE,1260064,,Montréal,Montréal,45.50503371,-73.56427881,De Bleury,-1,rue
20782,Ville-Marie,Ville-Marie,6,0,0,,0.992991416,0,0,FALSE,1260065,,Montréal,Montréal,45.50518783,-73.564608,De Bleury,-1,rue
20783,Ville-Marie,Ville-Marie,7,1165,1170,,0.976197788,1261,1202,FALSE,1260066,,Montréal,Montréal,45.5052725,-73.56478637,De Bleury,-1,rue
20785,Ville-Marie,Ville-Marie,7,1165,1170,,0.818027399,1261,1202,FALSE,1260066,,Montréal,Montréal,45.50607471,-73.56646169,De Bleury,-1,rue
20787,Ville-Marie,Ville-Marie,7,0,1250,,0.773033384,0,1256,FALSE,1260067,,Montréal,Montréal,45.50630117,-73.56693995,De Bleury,-1,rue
20790,Ville-Marie,Ville-Marie,7,1401,1400,,0.66304005,1451,1480,FALSE,1260068,,Montréal,Montréal,45.5068515,-73.56811228,De Bleury,-1,rue
20793,Ville-Marie,Ville-Marie,7,1491,1500,,0.591576307,1501,1520,FALSE,1260069,,Montréal,Montréal,45.50720142,-73.56888076,De Bleury,-1,rue
20796,Ville-Marie,Ville-Marie,7,0,1990,,0.558590235,0,2022,FALSE,1260070,,Montréal,Montréal,45.50749738,-73.56950488,De Bleury,-1,rue
20799,Ville-Marie,Ville-Marie,7,2051,2050,,0.61853017,2067,2060,FALSE,1260071,,Montréal,Montréal,45.50780558,-73.57013501,De Bleury,-1,rue
20802,Ville-Marie,Ville-Marie,0,4115,0,,1.684634699,4155,0,FALSE,1260074,,Montréal,Montréal,45.49558308,-73.60042197,Blueridge Crescent,1,rue
20806,Ville-Marie,Ville-Marie,0,4115,0,,1.710089869,4155,0,FALSE,1260074,,Montréal,Montréal,45.49557213,-73.60124724,Blueridge Crescent,1,rue
20807,Ville-Marie,Ville-Marie,6,0,3010,,1.35090899,0,3016,FALSE,1260076,,Montréal,Montréal,45.49536666,-73.59615527,Le Boulevard,0,
20813,Ville-Marie,Ville-Marie,6,0,3010,,1.371934396,0,3016,FALSE,1260076,,Montréal,Montréal,45.49492642,-73.59644003,Le Boulevard,0,
20815,Ville-Marie,Ville-Marie,6,3005,3030,,1.449683101,3089,3072,FALSE,1260077,,Montréal,Montréal,45.49424723,-73.59695702,Le Boulevard,0,
20816,Ville-Marie,Ville-Marie,6,3091,3090,,1.297230633,3125,3134,FALSE,1260078,,Montréal,Montréal,45.49304528,-73.5979311,Le Boulevard,0,
20817,Ville-Marie,Ville-Marie,6,3135,3136,,1.226683679,3155,3164,FALSE,1260079,,Montréal,Montréal,45.49249348,-73.59837719,Le Boulevard,0,
20821,Ville-Marie,Ville-Marie,0,3011,3000,,1.104543098,3049,3030,FALSE,1260080,,Montréal,Montréal,45.49131079,-73.59093825,De Breslay,0,chemin
20822,Ville-Marie,Ville-Marie,0,0,0,,0.650483984,0,0,FALSE,1260082,,Montréal,Montréal,45.50754799,-73.57031364,Burke,0,rue
20825,Ville-Marie,Ville-Marie,5,0,0,,1.328995252,0,0,FALSE,1260084,,Montréal,Montréal,45.51442269,-73.5902745,Camillien-Houde,0,voie
20835,Ville-Marie,Ville-Marie,5,0,0,,2.053285947,0,0,FALSE,1260084,,Montréal,Montréal,45.51276002,-73.59570185,Camillien-Houde,0,voie
20850,Ville-Marie,Ville-Marie,5,0,0,,2.343556697,0,0,FALSE,1260085,,Montréal,Montréal,45.51114482,-73.59499641,Camillien-Houde,1,voie
20867,Ville-Marie,Ville-Marie,0,0,356,,1.052272968,0,412,FALSE,1260095,,Montréal,Montréal,45.50405703,-73.56502302,Carmichael,0,rue
20868,Ville-Marie,Ville-Marie,0,0,600,,0.97038926,0,612,FALSE,1260096,,Montréal,Montréal,45.50379209,-73.56804205,Cathcart,-1,rue
20871,Ville-Marie,Ville-Marie,0,0,600,,0.915735934,0,612,FALSE,1260096,,Montréal,Montréal,45.50338108,-73.56842994,Cathcart,-1,rue
20875,Ville-Marie,Ville-Marie,0,635,620,,0.834652011,643,636,FALSE,1260097,,Montréal,Montréal,45.50276991,-73.56899572,Cathcart,-1,rue
20877,Ville-Marie,Ville-Marie,0,685,0,,0.79593412,687,0,FALSE,1260098,,Montréal,Montréal,45.50246622,-73.56923841,Cathcart,0,rue
20878,Ville-Marie,Ville-Marie,0,745,0,,0.713048148,759,0,FALSE,1260099,,Montréal,Montréal,45.50185751,-73.56985171,Cathcart,0,rue
20879,Ville-Marie,Ville-Marie,0,745,0,,0.66467108,759,0,FALSE,1260099,,Montréal,Montréal,45.50150525,-73.57021566,Cathcart,0,rue
20880,Ville-Marie,Ville-Marie,0,0,0,,0.593689077,0,0,FALSE,1260100,,Montréal,Montréal,45.50093758,-73.57074844,Cathcart,0,rue
20881,Ville-Marie,Ville-Marie,6,1071,0,,0.533451789,1111,0,FALSE,1260103,de la,Montréal,Montréal,45.49829821,-73.56763271,Cathédrale,-1,rue
20883,Ville-Marie,Ville-Marie,6,1071,0,,0.381600475,1111,0,FALSE,1260103,de la,Montréal,Montréal,45.49933692,-73.5696496,Cathédrale,-1,rue
20884,Ville-Marie,Ville-Marie,5,1529,1492,,1.014727738,1745,1770,FALSE,1260104,,Montréal,Montréal,45.50021347,-73.58567899,Cedar,0,avenue
20914,Ville-Marie,Ville-Marie,5,1529,1492,,1.029575336,1745,1770,FALSE,1260104,,Montréal,Montréal,45.4953078,-73.59146149,Cedar,0,avenue
20916,Ville-Marie,Ville-Marie,5,0,1772,,0.997711418,0,1780,FALSE,1260105,,Montréal,Montréal,45.49505901,-73.59166394,Cedar,0,avenue
20917,Ville-Marie,Ville-Marie,5,2985,3030,,1.056496332,3095,3030,FALSE,1260108,,Montréal,Montréal,45.49459066,-73.59251204,Cedar,0,avenue
20927,Ville-Marie,Ville-Marie,5,2985,3030,,1.328767566,3095,3030,FALSE,1260108,,Montréal,Montréal,45.49365803,-73.59566159,Cedar,0,avenue
20940,Ville-Marie,Ville-Marie,5,0,0,,1.047140384,0,0,FALSE,1260109,,Montréal,Montréal,45.49497282,-73.592459,Non-nommée,-1,voie
20941,Ville-Marie,Ville-Marie,5,3101,3100,,1.170695546,3197,3198,FALSE,1260112,,Montréal,Montréal,45.49224299,-73.59694037,Cedar,-1,avenue
20952,Ville-Marie,Ville-Marie,4,1,2,,0.540363061,9,8,FALSE,1260115,de,Montréal,Montréal,45.4979518,-73.58244668,Chelsea,0,place
20960,Ville-Marie,Ville-Marie,0,1405,1414,,0.542288238,1463,1440,FALSE,1260119,,Montréal,Montréal,45.49094733,-73.58262951,Chomedey,1,rue
20963,Ville-Marie,Ville-Marie,0,1405,1414,,0.414959494,1463,1440,FALSE,1260119,,Montréal,Montréal,45.49168106,-73.58391522,Chomedey,1,rue
20964,Ville-Marie,Ville-Marie,0,2005,2010,,0.505458584,2105,2100,FALSE,1260120,,Montréal,Montréal,45.49223331,-73.58489072,Chomedey,1,rue
20965,Ville-Marie,Ville-Marie,0,2255,2260,,0.576778988,2305,2262,FALSE,1260121,,Montréal,Montréal,45.49273844,-73.58576304,Chomedey,1,rue
20966,Ville-Marie,Ville-Marie,0,1411,1430,,0.968308384,1435,1480,FALSE,1260122,,Montréal,Montréal,45.5047341,-73.56831186,City Councillors,-1,rue
20969,Ville-Marie,Ville-Marie,0,1411,1430,,0.863102404,1435,1480,FALSE,1260122,,Montréal,Montréal,45.50532749,-73.56956337,City Councillors,-1,rue
20974,Ville-Marie,Ville-Marie,0,1495,1510,,0.791255198,1497,1512,FALSE,1260123,,Montréal,Montréal,45.5057102,-73.5703038,City Councillors,-1,rue
20977,Ville-Marie,Ville-Marie,0,0,0,,0.757522089,0,0,FALSE,1260124,,Montréal,Montréal,45.50602185,-73.57094697,City Councillors,-1,rue
20980,Ville-Marie,Ville-Marie,0,0,2050,,0.884425213,0,2052,FALSE,1260125,,Montréal,Montréal,45.50664408,-73.57230871,City Councillors,-1,rue
20981,Ville-Marie,Ville-Marie,0,1001,1000,,1.101530834,1007,1002,FALSE,1260126,,Montréal,Montréal,45.48751932,-73.58074142,Lambert-Closse,0,rue
20982,Ville-Marie,Ville-Marie,0,1001,1000,,1.055380111,1007,1002,FALSE,1260126,,Montréal,Montréal,45.4878423,-73.58111292,Lambert-Closse,0,rue
20983,Ville-Marie,Ville-Marie,0,1035,1036,,1.037836959,1039,1042,FALSE,1260127,,Montréal,Montréal,45.48792751,-73.5809236,Lambert-Closse,0,rue
20985,Ville-Marie,Ville-Marie,0,1035,1036,,0.948305633,1039,1042,FALSE,1260127,,Montréal,Montréal,45.48858426,-73.58158743,Lambert-Closse,0,rue
20986,Ville-Marie,Ville-Marie,0,1235,1236,,0.750404077,1265,1264,FALSE,1260130,,Montréal,Montréal,45.48959998,-73.58266194,Lambert-Closse,-1,rue
20990,Ville-Marie,Ville-Marie,0,1235,1236,,0.660968676,1265,1264,FALSE,1260130,,Montréal,Montréal,45.49011962,-73.58359279,Lambert-Closse,-1,rue
20993,Ville-Marie,Ville-Marie,0,1401,1410,,0.531514483,1455,1414,FALSE,1260131,,Montréal,Montréal,45.49087005,-73.58486178,Lambert-Closse,-1,rue
20994,Ville-Marie,Ville-Marie,0,2005,2010,,0.621794781,2115,2100,FALSE,1260132,,Montréal,Montréal,45.49143622,-73.58585672,Lambert-Closse,-1,rue
20995,Ville-Marie,Ville-Marie,0,2211,0,,0.692346908,2305,0,FALSE,1260133,,Montréal,Montréal,45.49206809,-73.58689545,Lambert-Closse,-1,rue
21005,Ville-Marie,Ville-Marie,0,363,352,,0.702050254,419,396,FALSE,1260135,de la,Montréal,Montréal,45.5064337,-73.57054567,Concorde,1,rue
21006,Ville-Marie,Ville-Marie,6,3405,3434,,0.30962327,3457,3440,FALSE,1260139,de la,Montréal,Montréal,45.49656382,-73.58172924,Côte-des-Neiges,0,chemin
21007,Ville-Marie,Ville-Marie,6,3405,3434,,0.312164706,3457,3440,FALSE,1260139,de la,Montréal,Montréal,45.4964701,-73.58300306,Côte-des-Neiges,0,chemin
21008,Ville-Marie,Ville-Marie,6,3465,0,,0.316390474,3485,0,FALSE,1260140,de la,Montréal,Montréal,45.49642414,-73.58360016,Côte-des-Neiges,0,chemin
21009,Ville-Marie,Ville-Marie,6,0,0,,0.366263535,0,0,FALSE,1260141,de la,Montréal,Montréal,45.49639167,-73.58423815,Côte-des-Neiges,0,chemin
21011,Ville-Marie,Ville-Marie,6,3545,3488,,0.472422997,3555,3538,FALSE,1260142,de la,Montréal,Montréal,45.49629724,-73.58559304,Côte-des-Neiges,0,chemin
21013,Ville-Marie,Ville-Marie,6,0,3550,,0.510977756,0,3550,FALSE,1260143,de la,Montréal,Montréal,45.49626587,-73.58608544,Côte-des-Neiges,0,chemin
21016,Ville-Marie,Ville-Marie,6,0,0,,0.55936713,0,0,FALSE,1260144,de la,Montréal,Montréal,45.49637764,-73.58668503,Côte-des-Neiges,1,chemin
21019,Ville-Marie,Ville-Marie,6,0,0,,0.600499669,0,0,FALSE,1260145,de la,Montréal,Montréal,45.49645883,-73.587197,Côte-des-Neiges,1,chemin
21028,Ville-Marie,Ville-Marie,6,0,3650,,0.666301794,0,3736,FALSE,1260146,de la,Montréal,Montréal,45.49625245,-73.58795858,Côte-des-Neiges,1,chemin
21030,Ville-Marie,Ville-Marie,0,0,0,,0.642778015,0,0,FALSE,1260147,de la,Montréal,Montréal,45.49662831,-73.58767027,Côte-des-Neiges,1,chemin
21033,Ville-Marie,Ville-Marie,7,3615,3738,,0.839947902,3787,3796,FALSE,1260148,de la,Montréal,Montréal,45.49529638,-73.58971901,Côte-des-Neiges,1,chemin
21034,Ville-Marie,Ville-Marie,6,0,0,,0.898722435,0,0,FALSE,1260149,du,Montréal,Montréal,45.49493497,-73.59055825,Docteur-Penfield,-1,avenue
21040,Ville-Marie,Ville-Marie,6,0,0,,0.992501288,0,0,FALSE,1260149,du,Montréal,Montréal,45.49494341,-73.59175948,Docteur-Penfield,-1,avenue
21047,Ville-Marie,Ville-Marie,7,0,0,,1.084228736,0,0,FALSE,1260151,,Montréal,Montréal,45.49493835,-73.59292904,McDougall,-1,chemin
21048,Ville-Marie,Ville-Marie,7,0,3940,,1.106843418,0,3982,FALSE,1260153,de la,Montréal,Montréal,45.49512415,-73.59306052,Côte-des-Neiges,1,chemin
21068,Ville-Marie,Ville-Marie,7,4037,0,,1.427683621,4037,0,FALSE,1260154,de la,Montréal,Montréal,45.49542781,-73.59713603,Côte-des-Neiges,1,chemin
21070,Ville-Marie,Ville-Marie,7,4039,0,,1.470098914,4039,0,FALSE,1260155,de la,Montréal,Montréal,45.49545856,-73.59767825,Côte-des-Neiges,1,chemin
21071,Ville-Marie,Ville-Marie,7,4065,0,,1.482227836,4065,0,FALSE,1260157,de la,Montréal,Montréal,45.49546751,-73.59783329,Côte-des-Neiges,1,chemin
21072,Ville-Marie,Ville-Marie,7,4065,0,,1.5185972,4065,0,FALSE,1260157,de la,Montréal,Montréal,45.49549418,-73.5982982,Côte-des-Neiges,1,chemin
21074,Ville-Marie,Ville-Marie,7,0,0,,1.556706004,0,0,FALSE,1260158,de la,Montréal,Montréal,45.49553396,-73.59878345,Côte-des-Neiges,1,chemin
21081,Ville-Marie,Ville-Marie,7,4155,0,,1.572850986,4185,0,FALSE,1260162,de la,Montréal,Montréal,45.4952345,-73.60293676,Côte-des-Neiges,1,chemin
21082,Ville-Marie,N/A,7,0,0,,1.593644005,0,0,FALSE,1260183,de la,Montréal,Westmount,45.49505142,-73.60288286,Côte-des-Neiges,-1,chemin
21085,Ville-Marie,N/A,7,0,0,,1.470770107,0,0,FALSE,1260183,de la,Montréal,Westmount,45.49477899,-73.60451651,Côte-des-Neiges,-1,chemin
21086,Ville-Marie,Ville-Marie,6,0,0,,1.124334791,0,0,FALSE,1260187,de la,Montréal,Montréal,45.51623927,-73.58835937,Côte-Sainte-Catherine,1,chemin
21090,Ville-Marie,Ville-Marie,0,1165,1182,,0.300868568,1255,1260,FALSE,1260205,,Montréal,Montréal,45.49588111,-73.57313499,Crescent,-1,rue
21094,Ville-Marie,Ville-Marie,0,1165,1182,,0.341489493,1255,1260,FALSE,1260205,,Montréal,Montréal,45.49718897,-73.57570875,Crescent,-1,rue
21097,Ville-Marie,Ville-Marie,0,1405,1410,,0.463671593,1471,1476,FALSE,1260206,,Montréal,Montréal,45.49805364,-73.57748071,Crescent,-1,rue
21099,Ville-Marie,Ville-Marie,0,2015,2000,,0.633459998,2197,2220,FALSE,1260207,,Montréal,Montréal,45.49896763,-73.57938637,Crescent,-1,rue
21100,Ville-Marie,Ville-Marie,0,1103,1100,,0.404469317,1117,1132,FALSE,1260208,,Montréal,Montréal,45.49940753,-73.57162733,Cypress,0,rue
21102,Ville-Marie,Ville-Marie,0,1103,1100,,0.313639498,1117,1132,FALSE,1260208,,Montréal,Montréal,45.49870485,-73.57229998,Cypress,0,rue
21106,Ville-Marie,Ville-Marie,6,815,750,,1.429130919,855,840,FALSE,1260214,du,Montréal,Montréal,45.50688256,-73.58002979,Docteur-Penfield,-1,avenue
21112,Ville-Marie,Ville-Marie,6,815,750,,1.139228254,855,840,FALSE,1260214,du,Montréal,Montréal,45.50481458,-73.57843351,Docteur-Penfield,-1,avenue
21113,Ville-Marie,Ville-Marie,6,0,1100,,0.965640492,0,1102,FALSE,1260219,du,Montréal,Montréal,45.50335487,-73.57948577,Docteur-Penfield,-1,avenue
21114,Ville-Marie,Ville-Marie,6,0,1100,,0.885895166,0,1102,FALSE,1260219,du,Montréal,Montréal,45.5025679,-73.58047282,Docteur-Penfield,-1,avenue
21115,Ville-Marie,Ville-Marie,6,1205,1200,,0.798641758,1207,1210,FALSE,1260222,du,Montréal,Montréal,45.50195441,-73.58117032,Docteur-Penfield,-1,avenue
21116,Ville-Marie,Ville-Marie,6,0,1230,,0.901368858,0,1260,FALSE,1260223,du,Montréal,Montréal,45.50122971,-73.58198714,Docteur-Penfield,-1,avenue
21117,Ville-Marie,Ville-Marie,6,0,0,,0.933350039,0,0,FALSE,1260224,du,Montréal,Montréal,45.5004118,-73.58297017,Docteur-Penfield,-1,avenue
21118,Ville-Marie,Ville-Marie,6,1425,1374,,0.821301447,1427,1434,FALSE,1260225,du,Montréal,Montréal,45.49959395,-73.58381355,Docteur-Penfield,-1,avenue
21120,Ville-Marie,Ville-Marie,6,0,1460,,0.720304848,0,1462,FALSE,1260227,du,Montréal,Montréal,45.49879576,-73.58460932,Docteur-Penfield,-1,avenue
21128,Ville-Marie,Ville-Marie,6,0,0,,0.589393748,0,0,FALSE,1260229,du,Montréal,Montréal,45.49609817,-73.58705697,Docteur-Penfield,-1,avenue
21151,Ville-Marie,Ville-Marie,6,0,1700,,0.821741108,0,1700,FALSE,1260233,du,Montréal,Montréal,45.49508657,-73.58959489,Docteur-Penfield,-1,avenue
21152,Ville-Marie,Ville-Marie,0,1001,1000,,0.502532477,1395,1002,FALSE,1260236,du,Montréal,Montréal,45.5003235,-73.57140498,Square-Dorchester,-1,rue
21153,Ville-Marie,Ville-Marie,0,1001,1000,,0.40938985,1395,1002,FALSE,1260236,du,Montréal,Montréal,45.49963456,-73.5720841,Square-Dorchester,-1,rue
21156,Ville-Marie,Ville-Marie,0,371,390,,1.111394965,407,400,FALSE,1260238,,Montréal,Montréal,45.50375482,-73.56439915,Dowd,1,rue
21157,Ville-Marie,Ville-Marie,0,1073,1040,,0.256098608,1077,1050,FALSE,1260239,,Montréal,Montréal,45.49658833,-73.5700366,Drummond,0,rue
21158,Ville-Marie,Ville-Marie,0,1073,1040,,0.112716189,1077,1050,FALSE,1260239,,Montréal,Montréal,45.49731819,-73.57155246,Drummond,0,rue
21159,Ville-Marie,Ville-Marie,0,1415,1402,,0.145730519,1475,1456,FALSE,1260243,,Montréal,Montréal,45.49863439,-73.57427629,Drummond,1,rue
21161,Ville-Marie,Ville-Marie,0,1415,1402,,0.322768271,1475,1456,FALSE,1260243,,Montréal,Montréal,45.49953325,-73.5761503,Drummond,1,rue
21162,Ville-Marie,Ville-Marie,0,2005,2000,,0.441914721,2233,2130,FALSE,1260244,,Montréal,Montréal,45.50013664,-73.57741303,Drummond,1,rue
21163,Ville-Marie,Ville-Marie,0,0,0,,0.497585814,0,0,FALSE,1260245,,Montréal,Montréal,45.50043139,-73.57797806,Drummond,0,rue
21164,Ville-Marie,Ville-Marie,0,0,0,,0.558498629,0,0,FALSE,1260245,,Montréal,Montréal,45.5007414,-73.57862214,Drummond,0,rue
21166,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,7,0,0,,1.598161375,0,0,FALSE,1260253,du,Montréal,Montréal,45.51351805,-73.58207298,Parc,1,avenue
21168,Ville-Marie,Ville-Marie,5,0,1180,,0.680869335,0,1230,FALSE,1260265,du,Montréal,Montréal,45.49023519,-73.57869823,Fort,-1,rue
21171,Ville-Marie,Ville-Marie,5,1239,1234,,0.496976546,1255,1250,FALSE,1260266,du,Montréal,Montréal,45.4913257,-73.58055368,Fort,-1,rue
21172,Ville-Marie,Ville-Marie,5,1271,1300,,0.407633311,1411,1400,FALSE,1260267,du,Montréal,Montréal,45.49188482,-73.58153688,Fort,-1,rue
21177,Ville-Marie,Ville-Marie,5,1415,1418,,0.278102927,1455,1434,FALSE,1260269,du,Montréal,Montréal,45.49263527,-73.58280716,Fort,-1,rue
21178,Ville-Marie,Ville-Marie,5,2053,2010,,0.367776458,2055,2100,FALSE,1260270,du,Montréal,Montréal,45.49317081,-73.58373771,Fort,-1,rue
21179,Ville-Marie,Ville-Marie,5,0,2300,,0.437027736,0,2302,FALSE,1260271,du,Montréal,Montréal,45.49356994,-73.58441936,Fort,-1,rue
21180,Ville-Marie,Ville-Marie,0,4041,4040,,1.509558836,4085,4082,FALSE,1260278,,Montréal,Montréal,45.49461153,-73.59816519,Gage,1,chemin
21208,Ville-Marie,Ville-Marie,0,4041,4040,,1.600600984,4085,4082,FALSE,1260278,,Montréal,Montréal,45.49540701,-73.59923134,Gage,1,chemin
21211,Ville-Marie,Ville-Marie,0,325,340,Ouest,1.217407107,345,340,FALSE,1260287,,Montréal,Montréal,45.50364012,-73.56317939,De La Gauchetière,1,rue
21214,Ville-Marie,Ville-Marie,0,0,420,Ouest,1.173392976,0,420,FALSE,1260288,,Montréal,Montréal,45.50328953,-73.5634412,De La Gauchetière,1,rue
21220,Ville-Marie,Ville-Marie,0,601,600,Ouest,0.88305056,675,700,FALSE,1260290,,Montréal,Montréal,45.50089243,-73.56518768,De La Gauchetière,1,rue
21221,Ville-Marie,Ville-Marie,0,751,800,Ouest,0.860321643,945,950,FALSE,1260291,,Montréal,Montréal,45.50070884,-73.56531569,De La Gauchetière,0,rue
21223,Ville-Marie,Ville-Marie,0,751,800,Ouest,0.64008255,945,950,FALSE,1260291,,Montréal,Montréal,45.49897588,-73.56668198,De La Gauchetière,0,rue
21225,Ville-Marie,Ville-Marie,0,987,0,Ouest,0.535919617,987,0,FALSE,1260292,,Montréal,Montréal,45.49817618,-73.56736928,De La Gauchetière,1,rue
21226,Ville-Marie,Ville-Marie,0,0,0,Ouest,0.502727263,0,0,FALSE,1260295,,Montréal,Montréal,45.49804831,-73.56775395,De La Gauchetière,1,rue
21228,Ville-Marie,Ville-Marie,0,0,0,Ouest,0.434563165,0,0,FALSE,1260295,,Montréal,Montréal,45.49781365,-73.56855907,De La Gauchetière,1,rue
21229,Ville-Marie,Ville-Marie,0,1001,1100,,0.422720526,1001,1190,FALSE,1260296,des,Montréal,Montréal,45.49773477,-73.5686611,Canadiens-de-Montréal,-1,avenue
21231,Ville-Marie,Ville-Marie,0,1001,1100,,0.348629618,1001,1190,FALSE,1260296,des,Montréal,Montréal,45.49722793,-73.56927771,Canadiens-de-Montréal,-1,avenue
21232,Ville-Marie,Ville-Marie,0,1265,1200,,0.346449812,1285,1300,FALSE,1260298,des,Montréal,Montréal,45.4958906,-73.57084492,Canadiens-de-Montréal,-1,avenue
21233,Ville-Marie,Ville-Marie,6,1005,900,,0.55361733,1035,1140,FALSE,1260303,,Montréal,Montréal,45.49378101,-73.57496094,Guy,0,rue
21234,Ville-Marie,Ville-Marie,6,1155,1190,,0.465184168,1259,1256,FALSE,1260305,,Montréal,Montréal,45.49419251,-73.57591472,Guy,0,rue
21235,Ville-Marie,Ville-Marie,6,1155,1190,,0.288717208,1259,1256,FALSE,1260305,,Montréal,Montréal,45.49503259,-73.57783466,Guy,0,rue
21236,Ville-Marie,Ville-Marie,6,0,1410,,0.24333703,0,1450,FALSE,1260308,,Montréal,Montréal,45.49524352,-73.57833288,Guy,0,rue
21237,Ville-Marie,Ville-Marie,6,2159,2200,,0.232189572,2345,2350,FALSE,1260311,,Montréal,Montréal,45.49608517,-73.58027418,Guy,0,rue
21244,Ville-Marie,Ville-Marie,0,1035,1010,,1.147223496,1035,1012,FALSE,1260315,,Montréal,Montréal,45.50319958,-73.56221405,Hermine,1,rue
21247,Ville-Marie,Ville-Marie,0,4055,4054,,1.45594666,4105,4098,FALSE,1260316,,Montréal,Montréal,45.49418938,-73.59849703,Highland,0,avenue
21253,Ville-Marie,Ville-Marie,0,2700,0,,1.922827659,2860,0,FALSE,1260318,,Montréal,Montréal,45.49700324,-73.60028872,Hill Park,0,chemin
21279,Ville-Marie,Ville-Marie,0,0,0,,1.889657552,0,0,FALSE,1260321,,Montréal,Montréal,45.497152,-73.60065568,Hill Park Circle,0,rue
21292,Ville-Marie,Ville-Marie,0,2661,0,,1.99092001,2801,0,FALSE,1260322,,Montréal,Montréal,45.49770025,-73.59962374,Hill Park Circle,1,rue
21340,Ville-Marie,Ville-Marie,0,1175,1180,,0.834973326,1203,1180,FALSE,1260334,,Montréal,Montréal,45.48938058,-73.58025256,Hope,1,avenue
21344,Ville-Marie,Ville-Marie,0,1175,1180,,0.798365418,1203,1180,FALSE,1260334,,Montréal,Montréal,45.48941484,-73.58139509,Hope,1,avenue
21347,Ville-Marie,Ville-Marie,0,1605,1600,,0.088983344,1665,1682,FALSE,1260375,,Montréal,Montréal,45.49507454,-73.58141211,Lincoln,-1,avenue
21349,Ville-Marie,Ville-Marie,0,1819,1800,,0.231985554,1893,1850,FALSE,1260379,,Montréal,Montréal,45.49409021,-73.58259193,Lincoln,-1,avenue
21351,Ville-Marie,Ville-Marie,0,0,0,,0.601449691,0,0,FALSE,1260391,,Montréal,Montréal,45.49427538,-73.57009495,Lucien-L'Allier,-1,rue
